description_id,description_text,language_hint
D069,iruhande rwa town council kabale,kin
D070,près de auberge kabale,fr
D071,directly opposite ibitaro bya kabale,en
D072,hafi ya stadium kabale,kin
D073,"⚡ next to standard chartered kabale (bank), pliz",en
D074,inyuma y' dfcu kabale,kin
D075,"directly opposite kabale red entrance, Kaobale",en
D076,"en face de pharmacie sur rn3, Kabale",fr
D077,à côté de Agakiriro Craft Centre,fr
D078,round the back of municipality kabale,en
D079,non loin de institute technique kabale,fr
D080,near Kabale Shopping Mall,en
D081,iruhande rwa hotel kabale,kin
D082,🚗 inyuma ya kabale tech (school),kin
D083,face à cathedral kabale,fr
D084,"adjacent to total gas kabale, asap",en
D085,"devalnt boutique mtn, Kabale",fr
D086,🚗 near Mutorere Health Centre,en
D087,hejuru ya immigration kabale,kin
D088,"à côté de airtel centre, terminus local",fr
D089,hafi ya Kbaale Stadium,kin
D090,next to crane kabale,en
D091,"📍 en arrière de MTN Service Centre Kabale, si vous plait",fr
D092,en face de caltex station,fr
D093,près de bureau immigration (government),fr
D094,"right next to Kabale Hoteel, attention",en
D095,hejuru ya development finance kabale,kin
D096,"🏍️ devant hospital kisizi, Rubanda",fr
D097,hejuru ya Kabale Catholic Cathedral,kin
D098,devat Kabale Shopping Mall (mall),fr
D099,✅ near epicerie kabale,en
D100,hejuru ya hotel white horse (nhotel),kin
D101,🏍️ opposite cathedral kabale,en
D102,"à côté de banque equity kabale, Kabale",fr
D103,"near ki kabale (school), si vous plait",en
D104,"devant Crane Bank Kabale (bank), Kabale",fr
D105,non loin de supermarche kabale (shop),fr
D106,non olin de kabale ps,fr
D107,⚡ à côté de rn3 kabale,fr
D108,hejru ya kabale hill,kin
D109,"🏍️ up from Bank of Uganda Kabale Branch, Kabale",en
D110,nyuma ya fire station kabale,kin
D111,adjacent to Kabale Prison Main Gate,en
D112,en face de Kabale Hill View Poinit,fr
D113,ugereranye na rwanda post kabal (post_office),kin
D114,"hejuru ya Shell Petrol Station Kabale, Kabale",kin
D115,🔴 à côté de animal services kabale (governments),fr
D116,"above poste kabale, Kabale",en
D117,close to Kisoro Bus Stage,en
D118,"près de banque standard kabale, Kaale, asap",fr
D119,"beside Kabale Shopping Mall, Kabale",en
D120,"à côté de mosque kabale, Kabale",fr
D121,"directly opposite rwanda post kabale, Kabale, stage ya basi",en
D122,au-dessus de post office kabale,fr
D123,"near conseil municipal kabale, ok",en
D124,opposite Kabale Immigration Office,en
D125,🔴 behind marche central,en
D126,"hafi ya conseil municipal kabale (government), arret",kin
D127,hejuru ya hopitall kisizi,kin
D128,hafi ya equity bank kabale,kin
D129,⚡ près de kabale policne (police),fr
D130,près de rn3 kabale (junction),fr
D131,"hafi ya Kabale Post Office (post_office), bus stop",kin
D132,🚗 adjacent to rugby grounds,en
D133,inyuma y' Standard Chartered Bank Kabale,kin
D134,à proximité de station essence total,fr
D135,hafi ya institute technqiue kabale (school),kin
D136,🔴 inyuma y' Kisoro Bus Stage,kin
D137,"au-dessus de equity bank kabale, Kabale",fr
D138,"right next to district hq kabale, terminus local",en
D139,au-dessus de bus stop kisoro (transport),fr
D140,above Kabale Police Station,en
D141,🔵 devant shopping centre kabale,fr
D142,"ugereranye na kisizi dispensary, Rubanda",kin
D143,near Kabale Municipal Council (government),en
D144,adjacent to ndorwa maroket,en
D145,uhill from university of kabale,en
D146,uphill from Kabale Mosque,en
D147,derrière Kisoro Bus Stage,fr
D148,just behind Ruhija Forest Sttaion,en
D149,ugereranye na msikiti kabale,kin
D150,inyuma y' marche ndorwa,kin
D151,🔴 en haut de central bank kbaale (bank),fr
D152,hafi ya ruhija ranger post,kin
D153,hagati ya hospital kisizi,kin
D154,facing Kabale Primary School,en
D155,"ugereranye na Kabale Fire Station, stage A",kin
D156,"imbere ya national road 3 (junction), urgent",kin
D157,"juste à côté de Shell Peterol Station Kabale (fuel_station), asap",fr
D158,hfai ya dfcu kabale,kin
D159,à côté de auberge cheval blanc,fr
D160,up from Kabale General Hospital,en
D161,🔴 près de poste forestier ruhija (nature),fr
D162,"à proxiité de white horse hotel kabale, si vous plait",fr
D163,✅ imere ya Equity Bank Kabale,kin
D164,près de eglise catholique kabale (church),fr
D165,"hafi ya caltex fuel, asap",kin
D166,⚡ directly opposite lango nyekundu (landmark),en
D167,✅ near town council kabale,en
D168,au-desuss de rn3,fr
D169,📦 hafi ya equity bank kabae,kin
D170,au-desuss de ndorwa market (market),fr
D171,"behind Kabale Central Market, pliz",en
D172,above animal services kabale,en
D173,beside hospital kisizi,en
D174,devant brigade incendie kabale,fr
D175,hafi ya White Horse Inn Kabale,kin
D176,"✅ directly opposite kabale ps, Kabale",en
D177,à l'arrière de Kabale Hotel,fr
D178,inyuma y' grounds kabale,kin
D179,hagati ya hopital kisizi,kin
D180,"close to Airtel Office Kabale, Kabale",en
D181,beside bureau de poste kabale,en
D182,devant Kabale Prison,fr
D183,behind bwindi forest,en
D184,"✅ uphill from eglise catholique kabale, Kabale",en
D185,"close to shopping kabale (mall), Kabale",en
D186,hafni ya catholic church kabale,kin
D187,aorund health centre mutorere,en
D188,hejuru ya kabale hill (landmark),kin
D189,inyuma ya Kabale Prison Main Gate,kin
D190,en haut de mutorere dispensary (health_centre),fr
D191,"🔵 facing Kabale Hotl, urgent",en
D192,besde station total,en
D193,"somewhere near bus stage kabale (transport), Kabale",en
D194,✅ above animal services kabale,en
D195,"around Kabalre Post Office, Kabale",en
D196,up from mosque kabale,en
D197,beside technical school klabale,en
D198,uphill from Kabale Supermarket (shop),en
D199,close to mutorere dispensary,en
D200,en haut de banque ouganda kabale,fr
